## data on insect communities, either initial or final_				
## experimentally homogenized communities are in				
##      homogenized_communities_txt				
## variables:				
## sampling =  'initial' --  observed from wild plants in the				
## field_  Or 'final', meaning after 12 days in experiment_				
## or 'homogenized', meaning the starting  community for the block				
## bromeliad = unique code for each plant OR the experimental block in which six plants were placed				
## spp = species name for each macroinvertebrate				
## abundance = number of macroinverts found				
sampling	bromeliad	spp	abundance	
initial	N2	Leptagrion	4	
initial	N2	culicid	7	
initial	N2	psychodid	3	
initial	N3	oligo	62	
initial	N3	Leptagrion	1	
initial	N3	culicid	12	
initial	N3	scirtid	11	
initial	N3	tipulidae	3	
initial	N3	elaterid_possible_terrest	1	
initial	A2	ostra	5	
initial	A1	ostra	5	
initial	A1	oligo	35	
initial	A1	forcipomyia	3	
initial	A1	culicid	2	
initial	A1	tipulidae	1	
initial	A1	aquatic_mite	1	
initial	A3	oligo	3	
initial	A3	culicid	2	
initial	A3	lampyridae	1	
initial	A4	ostra	6	
initial	A4	oligo	14	
initial	A4	forcipomyia	6	
initial	A4	culicid	1	
initial	N4	oligo	22	
initial	N4	Leptagrion	1	
initial	N4	forcipomyia	1	
initial	N4	scirtid	2	
initial	A5	oligo	3	
initial	A5	Leptagrion	1	
initial	A5	corethrella	1	
initial	A5	scirtid	2	
initial	A6	Chiro	4	
initial	A6	oligo	1	
initial	A6	Leptagrion	1	
initial	A6	culicid	1	
initial	A6	scirtid	2	
initial	A6	lampyridae	1	
initial	N5	Chiro	4	
initial	N5	ostra	14	
initial	N5	oligo	205	
initial	N5	Leptagrion	2	
initial	N5	forcipomyia	9	
initial	N5	corethrella	5	
initial	N5	tipulidae	1	
initial	N5	tabanidsmall	1	
initial	N6	oligo	76	
initial	N6	Leptagrion	1	
initial	N6	culicid	8	
initial	N6	scirtid	10	
initial	N6	psychodid	1	
initial	A7	ostra	34	
initial	A7	Leptagrion	1	
initial	A7	scirtid	3	
initial	A7	lampyridae	1	
initial	A8	ostra	2	
initial	A8	oligo	9	
initial	A8	forcipomyia	12	
initial	A8	culicid	8	
initial	A8	scirtid	1	
initial	A8	psychodid	1	
initial	A9	oligo	1	
initial	A9	forcipomyia	4	
initial	A9	culicid	1	
initial	A9	lampyridae	1	
initial	A11	forcipomyia	22	
initial	A11	culicid	6	
initial	A11	psychodid	4	
initial	N8	oligo	7	
initial	N8	scirtid	22	
initial	N7	Chiro	3	
initial	N7	oligo	104	
initial	N7	culicid	3	
initial	N7	scirtid	40	
initial	A13	ostra	6	
initial	A13	oligo	1	
initial	A13	forcipomyia	1	
