## Sp = code name for species / morphospecies,,,,,,,,
## sp.number = a code for the individual within the trial,,,,,,,,
## individual name = a concatenation of the previous two columns, which identifies the individual **within each trial**,,,,,,,,
## trial.name = code from the "trials" dataframe, which matches the trial to information such as the date, temperature etc,,,,,,,,
## Body = length of body (mm).  Present for all individuals,,,,,,,,
## tail = length of tail (mm).  Lept only,,,,,,,,
## date.capture = when did we catch the animal?,,,,,,,,
## time.of.death = how many minutes into the trial the animal finally died.  ,,,,,,,,
## trial.time = a concatenation of "trial.name"."time.of.death"  which gives the time of death within the trial. Used for matching within 'temperatures' to get the temp.,,,,,,,,
Sp,sp.number,individual.name,trial.name,body,tail,date.capture,time.of.death,trial.time
leech,19,leech.19,leech.01.apr,12.56,,03-Mar-2012,18,leech.01.apr.18
leech,20,leech.20,leech.01.apr,9.01,,03-Mar-2012,18,leech.01.apr.18
leech,21,leech.21,leech(2).01.apr,8.04,,03-Mar-2012,15,leech(2).01.apr.15
leech,22,leech.22,leech(2).01.apr,7.65,,03-Mar-2012,15,leech(2).01.apr.15
leech,23,leech.23,leech(2).01.apr,10.76,,03-Mar-2012,18,leech(2).01.apr.18
leech,24,leech.24,leech(2).01.apr,14.12,,03-Mar-2012,18,leech(2).01.apr.18
leech,25,leech.25,leech(2).01.apr,9.98,,03-Mar-2012,20,leech(2).01.apr.20
leech,26,leech.26,leech(2).01.apr,12.21,,03-Mar-2012,18,leech(2).01.apr.18
leech,27,leech.27,leech(2).01.apr,7.63,,03-Mar-2012,18,leech(2).01.apr.18
leech,28,leech.28,leech(2).01.apr,11.36,,03-Mar-2012,20,leech(2).01.apr.20
leech,29,leech.29,leech(2).01.apr,12.55,,03-Mar-2012,20,leech(2).01.apr.20
leech,30,leech.30,leech(2).01.apr,9.01,,03-Mar-2012,20,leech(2).01.apr.20
polypedium sp.2,11,polypedium sp.2.11,poly2(2).04.apr,6.06,,,21,poly2(2).04.apr.21
polypedium sp.2,12,polypedium sp.2.12,poly2(2).04.apr,6.76,,,21,poly2(2).04.apr.21
polypedium sp.2,13,polypedium sp.2.13,poly2(2).04.apr,4.24,,,21,poly2(2).04.apr.21
polypedium sp.2,14,polypedium sp.2.14,poly2(2).04.apr,5.2,,,20,poly2(2).04.apr.20
polypedium sp.2,15,polypedium sp.2.15,poly2(2).04.apr,7.16,,,21,poly2(2).04.apr.21
polypedium sp.2,16,polypedium sp.2.16,poly2(2).04.apr,4.92,,,21,poly2(2).04.apr.21
polypedium sp.2,17,polypedium sp.2.17,poly2(2).04.apr,4.01,,,21,poly2(2).04.apr.21
polypedium sp.2,18,polypedium sp.2.18,poly2(2).04.apr,6.47,,,20,poly2(2).04.apr.20
polypedium sp.2,19,polypedium sp.2.19,poly2(2).04.apr,7.9,,,21,poly2(2).04.apr.21
polypedium sp.2,20,polypedium sp.2.20,poly2(2).04.apr,5.12,,,21,poly2(2).04.apr.21
polypedium sp.2,21,polypedium sp.2.21,poly2(3).04.apr,4.13,,03-Mar-2012,21,poly2(3).04.apr.21
polypedium sp.2,22,polypedium sp.2.22,poly2(3).04.apr,6.75,,03-Mar-2012,21,poly2(3).04.apr.21
polypedium sp.2,23,polypedium sp.2.23,poly2(3).04.apr,4.56,,03-Mar-2012,21,poly2(3).04.apr.21
polypedium sp.2,24,polypedium sp.2.24,poly2(3).04.apr,6.17,,03-Mar-2012,22,poly2(3).04.apr.22
polypedium sp.2,25,polypedium sp.2.25,poly2(3).04.apr,5.72,,03-Mar-2012,21,poly2(3).04.apr.21
polypedium sp.2,26,polypedium sp.2.26,poly2(3).04.apr,7.88,,03-Mar-2012,22,poly2(3).04.apr.22
polypedium sp.2,27,polypedium sp.2.27,poly2(3).04.apr,5.21,,03-Mar-2012,21,poly2(3).04.apr.21
polypedium sp.2,28,polypedium sp.2.28,poly2(3).04.apr,5.98,,03-Mar-2012,21,poly2(3).04.apr.21
polypedium sp.2,29,polypedium sp.2.29,poly2(3).04.apr,5.12,,03-Mar-2012,21,poly2(3).04.apr.21
polypedium sp.2,30,polypedium sp.2.30,poly2(3).04.apr,6.09,,03-Mar-2012,21,poly2(3).04.apr.21
trichoptera,11,trichoptera.11,trich(2).12.apr,12.6,,03-Mar-2012,18,trich(2).12.apr.18
trichoptera,12,trichoptera.12,trich(2).12.apr,9.19,,03-Mar-2012,19,trich(2).12.apr.19
trichoptera,13,trichoptera.13,trich(2).12.apr,8.89,,03-Mar-2012,18,trich(2).12.apr.18
trichoptera,14,trichoptera.14,trich(2).12.apr,7.94,,03-Mar-2012,17,trich(2).12.apr.17
trichoptera,15,trichoptera.15,trich(2).12.apr,6.31,,03-Mar-2012,18,trich(2).12.apr.18
trichoptera,16,trichoptera.16,trich(2).12.apr,8.46,,03-Mar-2012,19,trich(2).12.apr.19
trichoptera,17,trichoptera.17,trich(2).12.apr,9.23,,03-Mar-2012,18,trich(2).12.apr.18
trichoptera,18,trichoptera.18,trich(2).12.apr,10.15,,03-Mar-2012,18,trich(2).12.apr.18
trichoptera,19,trichoptera.19,trich(2).12.apr,10.81,,03-Mar-2012,18,trich(2).12.apr.18
trichoptera,20,trichoptera.20,trich(2).12.apr,6.21,,03-Mar-2012,19,trich(2).12.apr.19
trichoptera,21,trichoptera.21,trich(3).12.apr,10.18,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,22,trichoptera.22,trich(3).12.apr,8.61,,03-Mar-2012,19,trich(3).12.apr.19
trichoptera,23,trichoptera.23,trich(3).12.apr,8.41,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,24,trichoptera.24,trich(3).12.apr,6.04,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,25,trichoptera.25,trich(3).12.apr,5.36,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,26,trichoptera.26,trich(3).12.apr,6,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,27,trichoptera.27,trich(3).12.apr,8.47,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,28,trichoptera.28,trich(3).12.apr,5.36,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,29,trichoptera.29,trich(3).12.apr,6.41,,03-Mar-2012,17,trich(3).12.apr.17
trichoptera,30,trichoptera.30,trich(3).12.apr,6.61,,03-Mar-2012,16,trich(3).12.apr.16
polypedium sp.1,11,polypedium sp.1.11,poly1(2).12.apr,5.38,,,20,poly1(2).12.apr.20
polypedium sp.1,12,polypedium sp.1.12,poly1(2).12.apr,5.69,,,20,poly1(2).12.apr.20
polypedium sp.1,13,polypedium sp.1.13,poly1(2).12.apr,6.89,,,18,poly1(2).12.apr.18
polypedium sp.1,14,polypedium sp.1.14,poly1(2).12.apr,4.19,,,19,poly1(2).12.apr.19
polypedium sp.1,15,polypedium sp.1.15,poly1(2).12.apr,3.42,,,20,poly1(2).12.apr.20
polypedium sp.1,16,polypedium sp.1.16,poly1(2).12.apr,5.26,,,19,poly1(2).12.apr.19
polypedium sp.1,17,polypedium sp.1.17,poly1(2).12.apr,4.78,,,20,poly1(2).12.apr.20
